Country,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4,Emissions.Sector.Power Industry,Emissions.Sector.Buildings,Emissions.Sector.Transport,Emissions.Sector.Other Industry,Emissions.Sector.Other sectors,Ratio.Per GDP,Ratio.Per Capita
Cambodia,4680.0,2990.0,24800.0,0.77,0.61,3.45,0.23,0.44,2.195649,0.78319
Cameroon,4170.0,10600.0,21600.0,0.87,0.43,2.93,0.74,2.29,1.725273,0.62979
Canada,36500.0,117000.0,564000.0,101.27,90.42,169.87,177.64,37.4,20.562,0.494016
Cape Verde,93.2,93.8,233.0,0.09,0.05,0.2,0.06,0.0,0.817092,0.136489
Cayman Islands,12.0,35.9,345.0,0.25,0.05,0.17,0.02,0.0,6.836349,0.789921
Central African Republic,523.0,2850.0,6540.0,0.09,0.05,0.2,0.06,0.02,2.206728,2.360804
Chad,1220.0,4640.0,14700.0,0.07,0.04,0.16,0.05,0.3,1.620495,0.824424
Chile,7990.0,22900.0,78700.0,34.17,6.25,22.43,14.38,6.06,6.326088,0.298102
China,522000.0,1660000.0,9920000.0,4154.02,630.86,698.39,3138.36,1634.75,8.797069,0.813274
Colombia,18200.0,69500.0,68400.0,7.72,8.91,27.8,20.79,7.35,3.329042,0.281217
Comoros,54.5,102.0,317.0,0.04,0.02,0.08,0.02,0.0,0.655209,0.476389
Democratic Republic of the Congo,3180.0,3890.0,24500.0,0.0,0.03,2.11,0.13,0.84,0.457265,0.701124
Congo,526.0,4910.0,8320.0,0.42,0.08,1.6,0.12,2.28,2.968871,0.563234
Costa Rica,1480.0,3810.0,7620.0,0.56,0.44,4.76,1.09,0.66,2.774346,0.204124
Cote d'Ivoire,2410.0,7410.0,11100.0,3.46,0.86,2.38,1.19,1.34,0.974575,0.360098
